,GLD,MDYG,MDYV,SLYG,SLYV,SPHB,SPLV,SPYG,SPYV,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XMLV,XSLV
2000-05-12 00:00:00+00:00,,,,,,,,,,13.9814909337,,18.6633196176,12.5042444608,20.0894023965,38.4517033667,14.0884776461,,12.9451493257,21.0973642291,22.0424942364,,
2000-05-15 00:00:00+00:00,,,,,,,,,,14.2229674611,,19.0529998121,13.0661739682,20.423224304,39.1650503472,14.4390274974,,13.1933872744,21.4450035985,22.1116411336,,
2000-05-16 00:00:00+00:00,,,,,,,,,,14.0720446315,,18.6810323537,12.9873988036,20.6168410104,40.338621186,14.3725439049,,13.1382232858,21.7274605861,22.2806668824,,
2000-05-17 00:00:00+00:00,,,,,,,,,,14.1143030238,,18.7755002797,12.7668283428,20.4766358092,39.7633413631,14.4208956085,,12.9359553276,21.4812160328,21.7505406704,,
2000-05-18 00:00:00+00:00,,,,,,,,,,13.9996016733,,18.7459790528,12.9348820272,20.3831656751,38.7585192723,14.3906757938,,13.0462833048,21.4594885722,22.1884710195,,
2000-05-19 00:00:00+00:00,,,,,,,,,,14.0358231524,,18.7814045251,12.7038082111,19.8223448704,37.2474509373,14.493423164,,12.7980453561,20.8873321101,21.6199298645,,
2000-05-22 00:00:00+00:00,,,,,,,,,,13.9633801942,,18.6278941454,12.8666102179,19.4751700866,37.0787021892,14.4511154233,,12.8853883381,20.6555725305,21.2972443442,,
2000-05-23 00:00:00+00:00,,,,,,,,,,13.7641620591,,18.5511389556,12.9506370602,19.3950528288,35.2838291416,14.3725439049,,12.6509413865,20.4817528458,21.1973654926,,
2000-05-24 00:00:00+00:00,,,,,,,,,,13.7037929273,,18.5865644278,13.113439067,19.6754632311,36.6721711143,14.6868299785,,12.8624033428,20.6193600962,20.8132160636,,
2000-05-25 00:00:00+00:00,,,,,,,,,,13.2087660462,,18.2323097056,12.7825833757,19.3216120091,36.0738800985,14.6445222378,,12.6509413865,20.4600253853,20.6211413491,,
2000-05-26 00:00:00+00:00,,,,,,,,,,12.9974740848,,18.2382139509,12.7353182769,19.2147889987,36.1966064607,14.6928739415,,12.8991793352,20.3006906743,20.1908939886,,
2000-05-30 00:00:00+00:00,,,,,,,,,,13.1423600012,,18.4980007472,12.9979021589,19.5619637825,38.5437481384,14.6082584601,,12.9957163153,21.1408191503,20.3445537602,,
2000-05-31 00:00:00+00:00,,,,,,,,,,13.0276586507,,19.0529998121,13.1554524881,19.6954925456,37.7997195673,14.4692473122,,13.064671301,21.365336243,20.8285820408,,
2000-06-01 00:00:00+00:00,,,,,,,,,,13.0638801298,,18.875872451,13.5913417322,19.849050623,39.5025478433,14.5055110899,,13.1612082811,21.2277289926,20.9822418124,,
2000-06-02 00:00:00+00:00,,,,,,,,,,13.2812090044,,18.2323097056,14.1480195621,19.9959322624,41.297420891,14.0038621647,,13.1152382906,21.7491880467,21.5584659559,,
2000-06-05 00:00:00+00:00,,,,,,,,,,13.1665076539,,17.9725229092,13.827667226,19.9692265098,41.4201472532,13.9857302758,,12.8164333523,21.6840056649,21.4432211272,,
2000-06-06 00:00:00+00:00,,,,,,,,,,13.1846183935,,18.6751281084,13.5230699229,19.8223448704,40.8448674302,14.0340819795,,13.1152382906,21.5029434934,20.7594351435,,
2000-06-07 00:00:00+00:00,,,,,,,,,,12.906920387,,18.4330540482,13.7226336732,19.7288747363,41.6119071942,14.1851810533,,13.1658052801,21.4450035985,20.7594351435,,
2000-06-08 00:00:00+00:00,,,,,,,,,,12.8827727343,,18.4389582935,13.4915598571,19.4150821432,41.4201472532,14.1851810533,,13.243954264,21.2784264007,20.5519944519,,
2000-06-09 00:00:00+00:00,,,,,,,,,,12.8646619947,,18.4035328213,13.2604860409,19.4885229629,41.5198624225,14.3423240901,,13.4094462298,21.5898533357,20.2139429544,,
2000-06-12 00:00:00+00:00,,,,,,,,,,12.9431418661,,18.8227342427,13.376022949,19.5085522773,40.6531074892,14.3241922013,,13.3542822412,21.3870637036,19.7145486966,,
2000-06-13 00:00:00+00:00,,,,,,,,,,12.5748901619,,18.8227342427,13.3602679161,19.5886695352,41.5198624225,14.487379201,,13.6392961823,21.0973642291,20.0986981257,,
2000-06-14 00:00:00+00:00,,,,,,,,,,12.906920387,,18.7932130158,13.5913417322,19.5486109062,40.7528226585,14.6747420526,,13.5841321937,21.4594885722,20.1678450229,,
2000-06-15 00:00:00+00:00,,,,,,,,,,12.906920387,,18.5275219741,13.2709893962,19.7355511745,41.5658848083,14.9467203855,,13.5105802089,22.0678574686,20.1217470914,,
